,i_.i_.MinimumData,i_.i_.Imputation,i_.i_.SNPs,i_.i_.Ascertainment,j_.j_.MinimumData,j_.j_.Imputation,j_.j_.SNPs,j_.j_.Ascertainment,v1x,v2y,cor.out,intercept.out,slope.out,,
1,10%,No,all,seqcap,10%,No,all,seqcap,COMBINED.table.contig_flt10.bayenvED,COMBINED.table.contig_flt10.bayenvED,1,NA,NA,,
2,10%,No,all,seqcap,80%,No,all,seqcap,COMBINED.table.contig_flt10.bayenvED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,0.934070958,-0.234020239,1.665185235,10% vs 80%,
3,10%,No,all,seqcap,10%,No,noncoding,seqcap,COMBINED.table.contig_flt10.bayenvED,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,0.970068688,-0.046354177,1.089004621,coding vs noncoding,
4,10%,No,all,seqcap,80%,No,noncoding,seqcap,COMBINED.table.contig_flt10.bayenvED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,0.916124625,-0.527862526,2.390924745,,
5,10%,No,all,seqcap,10%,Yes,all,seqcap,COMBINED.table.contig_flt10.bayenvED,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,0.778128814,0.116418711,0.744148184,imputed vs not imputed,
6,10%,No,all,seqcap,10%,Yes,noncoding,seqcap,COMBINED.table.contig_flt10.bayenvED,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,0.813198905,0.028514292,0.916623673,,
7,10%,No,all,seqcap,80%,Yes,all,seqcap,COMBINED.table.contig_flt10.bayenvED,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,0.934071105,-0.222965429,1.628615924,,
8,10%,No,all,seqcap,80%,Yes,noncoding,seqcap,COMBINED.table.contig_flt10.bayenvED,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,0.919016689,-0.524544942,2.371578207,,
9,10%,No,all,seqcap,10%,No,noncoding,GBS,COMBINED.table.contig_flt10.bayenvED,spruce_GBS_all.table.contig_flt10.bayenv.covmatED,0.636640401,-0.013830608,1.15518132,,
10,80%,No,all,seqcap,10%,No,all,seqcap,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,COMBINED.table.contig_flt10.bayenvED,0.934070958,0.178994927,0.523958858,,
