,v1x,v2y,cor.out,intercept.out,slope.out,Notes,
1,COMBINED.table.contig_flt10.bayenvED,COMBINED.table.contig_flt10.bayenvED,1,NA,NA,,
2,COMBINED.table.contig_flt10.bayenvED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,0.934070958,-0.234020239,1.665185235,10% data no imputation vs 80% data no imputation,steeper slope indicates lower and narrower range of covariances in x than in y 
3,COMBINED.table.contig_flt10.bayenvED,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,0.970068688,-0.046354177,1.089004621,coding vs. noncoding within dataset,
4,COMBINED.table.contig_flt10.bayenvED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,0.916124625,-0.527862526,2.390924745,,
5,COMBINED.table.contig_flt10.bayenvED,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,0.778128814,0.116418711,0.744148184,10% data no imputation vs 10% data imputation--not similar,
6,COMBINED.table.contig_flt10.bayenvED,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,0.813198905,0.028514292,0.916623673,,
7,COMBINED.table.contig_flt10.bayenvED,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,0.934071105,-0.222965429,1.628615924,,
8,COMBINED.table.contig_flt10.bayenvED,var_out_spruce_all_beagle80_p99.tab.noncoding.bayenv.covmatED,0.919016689,-0.524544942,2.371578207,,
9,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,COMBINED.table.contig_flt10.bayenvED,0.934070958,0.178994927,0.523958858,,
10,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,1,NA,NA,,
11,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt10.noncoding.bayenv.covmatED,0.950668936,0.134480899,0.598651199,,
12,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,var_out_588ind_all_v2_COMBINED.table.contig_flt80.noncoding.bayenv.covmatED,0.973234563,-0.186296182,1.424774689,coding vs. noncoding within dataset,
13,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.bayenv.covmatED,0.894125965,0.20454454,0.479649453,,
14,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,var_out_spruce_all_beagle10_p99.tab.noncoding.bayenv.covmatED,0.908637485,0.145254028,0.574516163,,
15,var_out_588ind_all_v2_COMBINED.table.contig_flt80.bayenv.covmatED,var_out_spruce_all_beagle80_p99.tab.bayenv.covmatED,0.994768483,0.008485242,0.972922113,80% data no imputation vs 80% data imputation--very similar,
